TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"C-323715","YuGiOh","2011 Collectors Tins","Galaxy-Eyes Photon Dragon","GERMAN Galaxy-Eyes Photon Dragon ","CT08-EN003","Secret Rare","Near Mint Limited","","","","","0","0","6.9900","https://static.tcgplayer.com/DFA4AE39-2C46-467A-BB5A-7F395B65E0BD"
"734844","YuGiOh","2011 Collectors Tins","Guardian Eatos","","CT08-EN013","Super Rare","Near Mint Limited","0.26","","1.1100","0.1200","10","0","0.4900",""
"734842","YuGiOh","2011 Collectors Tins","Malefic Stardust Dragon","","CT08-EN014","Super Rare","Near Mint Limited","2.22","","2.8900","1.9000","0","0","1.9900",""
"734312","YuGiOh","2011 Collectors Tins","Neo-Parshath, The Sky Paladin","","CT08-EN009","Super Rare","Near Mint Limited","0.23","","1.1000","0.1100","29","0","0.4900",""
"734846","YuGiOh","2011 Collectors Tins","Number 10: Illumiknight","","CT08-EN004","Secret Rare","Near Mint Limited","0.41","","1.2200","0.2300","0","0","0.4900",""
"734306","YuGiOh","2011 Collectors Tins","Number 17: Leviathan Dragon","","CT08-EN001","Secret Rare","Near Mint Limited","1.25","","1.7400","0.7500","0","0","2.9900",""
"734310","YuGiOh","2011 Collectors Tins","Pot of Duality","","CT08-EN008","Super Rare","Near Mint Limited","4.01","5.52","2.0000","0.0100","0","0","3.4900",""
"734843","YuGiOh","2011 Collectors Tins","Solemn Warning","","CT08-EN015","Super Rare","Near Mint Limited","1.00","","1.6900","0.7000","0","0","2.4900",""
"734309","YuGiOh","2011 Collectors Tins","Stygian Street Patrol","","CT08-EN007","Super Rare","Near Mint Limited","0.55","","1.2800","0.2900","0","0","0.4900",""
"734847","YuGiOh","2011 Collectors Tins","The Tyrant Neptune","","CT08-EN018","Super Rare","Near Mint Limited","0.50","","1.3300","0.3400","11","0","0.9900",""
"734311","YuGiOh","2011 Collectors Tins","Wind-Up Zenmaister","","CT08-EN002","Secret Rare","Near Mint Limited","0.33","","1.1700","0.1800","8","0","0.4900",""
"734849","YuGiOh","2011 Collectors Tins","XX-Saber Darksoul","","CT08-EN017","Super Rare","Near Mint Limited","0.32","","1.1400","0.1500","23","0","0.4900",""
"682489","YuGiOh","2011 Duelist Pack Tin","Frozen Fitzgerald","","DPCT-EN005","Secret Rare","Near Mint Limited","0.32","","1.0800","0.0900","0","0","0.4900",""
"682488","YuGiOh","2011 Duelist Pack Tin","Hundred Eyes Dragon","","DPC5-EN003","Super Rare","Near Mint Limited","0.43","","1.2300","0.2400","18","0","0.4900",""
"682486","YuGiOh","2011 Duelist Pack Tin","Underground Arachnid","","DPC5-EN001","Super Rare","Near Mint Limited","0.17","","1.1100","0.1200","19","0","0.4900",""
"946947","YuGiOh","2012 Collectors Tin","Blizzard Princess","","CT09-EN009","Super Rare","Near Mint Limited","0.38","","1.0800","0.0900","1","0","0.4900",""
"946946","YuGiOh","2012 Collectors Tin","Evolzar Dolkka","","CT09-EN001","Secret Rare","Near Mint Limited","2.28","2.49","2.4000","1.4100","0","0","12.4900",""
"C-167242","YuGiOh","2012 Collectors Tin","Evolzar Dolkka","SPANISH Evolzar Dolkka","CT09-EN001","Secret Rare","Near Mint Limited","","","","","0","0","2.9900","https://static.tcgplayer.com/55E0BA59-DCB4-428D-8DB4-551BDE2913EE"
"946942","YuGiOh","2012 Collectors Tin","Evolzar Laggia","","CT09-EN011","Super Rare","Near Mint Limited","1.07","","1.6400","0.6500","0","0","3.9900",""
"946948","YuGiOh","2012 Collectors Tin","Heroic Champion - Excalibur","","CT09-EN002","Secret Rare","Near Mint Limited","0.76","","1.2400","0.2500","0","0","1.4900",""
"1062395","YuGiOh","2012 Collectors Tin","Hieratic Sun Dragon Overlord of Heliopolis","","CT09-EN004","Secret Rare","Near Mint Limited","0.95","","1.6500","0.6600","0","0","6.9900",""
"1072603","YuGiOh","2012 Collectors Tin","Infernity Barrier","","CT09-EN023","Super Rare","Near Mint Limited","1.11","","1.4600","0.4700","0","0","0.9900",""
"1062397","YuGiOh","2012 Collectors Tin","Leviair the Sea Dragon","","CT09-EN018","Super Rare","Near Mint Limited","3.96","5.95","4.1200","3.1300","0","0","5.9900",""
"1062400","YuGiOh","2012 Collectors Tin","Malefic Truth Dragon","","CT09-EN016","Super Rare","Near Mint Limited","0.53","","1.3200","0.3300","0","0","0.7400",""
"1062392","YuGiOh","2012 Collectors Tin","Maxx ""C""","","CT09-EN012","Super Rare","Near Mint Limited","16.13","","16.4000","15.4100","0","0","19.9900",""
"1062398","YuGiOh","2012 Collectors Tin","Ninja Grandmaster Hanzo","","CT09-EN003","Secret Rare","Near Mint Limited","2.22","","2.8900","1.9000","0","0","2.4900",""
"1062399","YuGiOh","2012 Collectors Tin","Number 16: Shock Master","","CT09-EN014","Super Rare","Near Mint Limited","1.69","","1.7300","0.7400","51","0","2.9900",""
"1072534","YuGiOh","2012 Collectors Tin","Photon Strike Bounzer","","CT09-EN022","Super Rare","Near Mint Limited","1.04","","1.7000","0.7100","0","0","1.9900",""
"1072580","YuGiOh","2012 Collectors Tin","Prophecy Destroyer","","CT09-EN019","Secret Rare","Near Mint Limited","0.37","","1.2500","0.2600","0","0","0.4900",""
"1062394","YuGiOh","2012 Collectors Tin","Rescue Rabbit","","CT09-EN015","Super Rare","Near Mint Limited","0.62","","1.3900","0.4000","0","0","0.9900",""
"946944","YuGiOh","2012 Collectors Tin","Scrap Dragon","","CT09-EN006","Super Rare","Near Mint Limited","0.48","","1.1700","0.1700","0","0","0.7400",""
"1072497","YuGiOh","2012 Collectors Tin","Steelswarm Roach","","CT09-EN021","Super Rare","Near Mint Limited","5.71","","5.0000","5.0000","1","0","6.4900",""
"1062396","YuGiOh","2012 Collectors Tin","Tour Guide From the Underworld","","CT09-EN013","Super Rare","Near Mint Limited","3.57","","3.9500","2.9500","0","0","3.9900",""
"946949","YuGiOh","2012 Collectors Tin","Wind-Up Rabbit","","CT09-EN010","Super Rare","Near Mint Limited","0.22","","1.0600","0.0700","97","0","0.4900",""
"946943","YuGiOh","2012 Collectors Tin","Wind-Up Zenmaines","","CT09-EN008","Super Rare","Near Mint Limited","0.62","0.38","1.3500","0.3600","0","0","0.4900",""
"851122","YuGiOh","2012 Premium Collection Tin","Blaze Fenix, the Burning Bombardment Bird","","PRC1-EN012","Super Rare","Near Mint 1st Edition","1.04","","1.9500","0.7000","0","0","1.2400",""
