,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
183,1253209,YuGiOh,2014 Mega-Tins Mega Pack,Genomix Fighter,0,MP14-EN156,Ultra Rare,Near Mint 1st Edition,0.22,0.0,1.13,0.14,3,0,0.99,0
185,1253539,YuGiOh,2014 Mega-Tins Mega Pack,Ghostrick Dullahan,0,MP14-EN222,Rare,Near Mint 1st Edition,1.09,0.0,1.62,0.63,1,0,1.24,0
186,1253439,YuGiOh,2014 Mega-Tins Mega Pack,Ghostrick Jackfrost,0,MP14-EN202,Common,Near Mint 1st Edition,0.29,0.0,1.21,0.22,27,0,0.99,0
187,1253139,YuGiOh,2014 Mega-Tins Mega Pack,Ghostrick Jiangshi,0,MP14-EN142,Common,Near Mint 1st Edition,0.46,0.0,1.3,0.31,2,0,1.49,0
192,1253219,YuGiOh,2014 Mega-Tins Mega Pack,Granmarg the Mega Monarch,0,MP14-EN158,Secret Rare,Near Mint 1st Edition,0.92,0.0,1.86,0.87,68,0,1.49,0
194,1253494,YuGiOh,2014 Mega-Tins Mega Pack,Gravekeeper's Ambusher,0,MP14-EN213,Common,Near Mint 1st Edition,0.28,0.0,1.13,0.13,7,0,0.99,0
198,1252589,YuGiOh,2014 Mega-Tins Mega Pack,Harpie's Pet Phantasmal Dragon,0,MP14-EN032,Rare,Near Mint 1st Edition,0.97,0.0,1.73,0.74,2,0,1.49,0
199,1253579,YuGiOh,2014 Mega-Tins Mega Pack,Hidden Temples of Necrovalley,0,MP14-EN230,Rare,Near Mint 1st Edition,0.9,0.0,1.6,0.61,1,0,1.24,0
200,1252634,YuGiOh,2014 Mega-Tins Mega Pack,Hysteric Sign,0,MP14-EN041,Super Rare,Near Mint 1st Edition,1.06,0.0,1.62,0.63,1,0,1.24,0
202,1252594,YuGiOh,2014 Mega-Tins Mega Pack,King of the Feral Imps,0,MP14-EN033,Common,Near Mint 1st Edition,0.37,0.0,1.14,0.15,4,0,0.99,0
205,1253214,YuGiOh,2014 Mega-Tins Mega Pack,"Mariña, Princess of Sunflowers",0,MP14-EN157,Super Rare,Near Mint 1st Edition,0.39,0.0,1.19,0.2,11,0,0.99,0
206,1252884,YuGiOh,2014 Mega-Tins Mega Pack,Masked Chameleon,0,MP14-EN091,Ultra Rare,Near Mint 1st Edition,1.28,0.0,1.66,0.67,1,0,1.99,0
207,1252809,YuGiOh,2014 Mega-Tins Mega Pack,Mecha Phantom Beast Blue Impala,0,MP14-EN076,Ultra Rare,Near Mint 1st Edition,0.36,0.0,1.23,0.24,3,0,0.99,0
208,1252579,YuGiOh,2014 Mega-Tins Mega Pack,Mecha Phantom Beast Dracossack,0,MP14-EN030,Secret Rare,Near Mint 1st Edition,9.65,0.0,8.69,8.69,2,0,9.24,0
212,1253254,YuGiOh,2014 Mega-Tins Mega Pack,Meliae of the Trees,0,MP14-EN165,Secret Rare,Near Mint 1st Edition,1.01,0.0,1.53,0.54,2,0,5.99,0
214,1252509,YuGiOh,2014 Mega-Tins Mega Pack,Mermail Abyssocea,0,MP14-EN016,Common,Near Mint 1st Edition,0.45,0.0,1.08,0.08,10,0,0.74,0
215,1252694,YuGiOh,2014 Mega-Tins Mega Pack,Mind Drain,0,MP14-EN053,Common,Near Mint 1st Edition,0.46,0.0,1.23,0.24,12,0,0.99,0
219,1253099,YuGiOh,2014 Mega-Tins Mega Pack,Mythic Tree Dragon,0,MP14-EN134,Common,Near Mint 1st Edition,0.19,0.0,1.09,0.1,13,0,0.74,0
225,1252924,YuGiOh,2014 Mega-Tins Mega Pack,Number 66: Master Key Beetle,0,MP14-EN099,Super Rare,Near Mint 1st Edition,0.62,0.0,1.24,0.25,2,0,0.99,0
233,1252609,YuGiOh,2014 Mega-Tins Mega Pack,Rank-Up-Magic Barian's Force,0,MP14-EN036,Ultra Rare,Near Mint 1st Edition,0.7,0.0,1.31,0.32,1,0,0.99,0
236,1252544,YuGiOh,2014 Mega-Tins Mega Pack,Risebell the Star Adjuster,0,MP14-EN023,Common,Near Mint 1st Edition,0.27,0.0,1.14,0.15,38,0,0.99,0
242,1252559,YuGiOh,2014 Mega-Tins Mega Pack,Shark Fortress,0,MP14-EN026,Common,Near Mint 1st Edition,0.3,0.0,1.23,0.24,41,0,0.99,0
244,1253614,YuGiOh,2014 Mega-Tins Mega Pack,Skill Prisoner,0,MP14-EN237,Super Rare,Near Mint 1st Edition,0.27,0.0,1.16,0.17,16,0,0.99,0
253,1253409,YuGiOh,2014 Mega-Tins Mega Pack,Sylvan Peaskeeper,0,MP14-EN196,Rare,Near Mint 1st Edition,0.3,0.0,1.24,0.25,1,0,0.99,0
